seqID,clusterid,gene,allele,cluster_contains_multiple_genes,gene_found_in_multiple_clusters
00001,20,LR594546,LR594546,no,no
00002,21,LR594543,LR594543,no,no
00003,22,LR594542,LR594542,no,no
00004,1,NZ_CP027015,NZ_CP027015,no,no
00005,0,MG973074,MG973074,no,no
00006,3,CP029155,CP029155,no,no
00007,2,NZ_CP020426,NZ_CP020426,no,no
00008,5,NZ_CP027016,NZ_CP027016,no,no
00009,4,MF547664,MF547664,no,no
00010,7,CP029153,CP029153,no,no
00011,6,CP029156,CP029156,no,no
00012,9,NZ_CP020425,NZ_CP020425,no,no
00013,8,FN668942,FN668942,no,no
00014,11,AF408195,AF408195,no,no
00015,10,JYNK01000020,JYNK01000020,no,no
00016,13,AM180356,AM180356,no,no
00017,12,MG019959,MG019959,no,no
00018,15,LR594545,LR594545,no,no
00019,14,MH229772,MH229772,no,no
00020,17,LR594541,LR594541,no,no
00021,16,AY350745,AY350745,no,no
00022,19,LR594544,LR594544,no,no
00023,18,LR595854,LR595854,no,no
