seqID,clusterid,gene,allele,cluster_contains_multiple_genes,gene_found_in_multiple_clusters
00001,24,39_O,39_O,no,no
00002,25,phiCP13O,phiCP13O,no,no
00003,26,phiCP34O,phiCP34O,no,no
00004,27,phiCT19406B,phiCT19406B,yes,no
00005,27,phiCTC2B,phiCTC2B,yes,no
00006,20,phiCD111,phiCD111,no,no
00007,21,phiCD146,phiCD146,no,no
00008,22,phiCD38_2,phiCD38_2,no,no
00009,23,vB_CpeS_CP51,vB_CpeS_CP51,no,no
00010,28,phiSM101,phiSM101,no,no
00011,29,phiCD6356,phiCD6356,no,no
00012,1,phiCD211,phiCD211,yes,no
00013,1,PeptophiCDIF1296T,PeptophiCDIF1296T,yes,no
00014,0,c_st,c_st,no,no
00015,3,phiSemix9P1,phiSemix9P1,no,no
00016,2,phiCTP1,phiCTP1,no,no
00017,5,phiCDHM19,phiCDHM19,no,no
00018,4,phiC2,phiC2,no,no
00019,7,phiCD119,phiCD119,no,no
00020,6,CDMH1,CDMH1,no,no
00021,9,phiCD27,phiCD27,no,no
00022,8,phiMMP03,phiMMP03,no,no
00023,39,phiCP7R,phiCP7R,yes,no
00024,39,phiCPV4,phiCPV4,yes,no
00025,38,phiMMP04,phiMMP04,no,no
00026,11,CDKM9,CDKM9,no,no
00027,10,CDKM15,CDKM15,no,no
00028,13,phiMMP02,phiMMP02,no,no
00029,12,phiCD505,phiCD505,no,no
00030,15,phiCT19406A,phiCT19406A,yes,no
00031,15,phiCTC2A,phiCTC2A,yes,no
00032,14,phi8074_B1,phi8074_B1,no,no
00033,17,phiMMP01,phiMMP01,no,no
00034,16,phiCT9441A,phiCT9441A,no,no
00035,19,phiCT453A,phiCT453A,no,no
00036,18,phiCD24_1,phiCD24_1,no,no
00037,31,phiCT19406C,phiCT19406C,no,no
00038,30,phiCT453B,phiCT453B,no,no
00039,37,phiCDHM14,phiCDHM14,no,no
00040,36,phiCD481_1,phiCD481_1,no,no
00041,35,phiCD506,phiCD506,no,no
00042,34,phi3626,phi3626,no,no
00043,33,phiCDHM11,phiCDHM11,yes,no
00044,33,phiCDHM13,phiCDHM13,yes,no
00045,32,PhiS63,PhiS63,no,no
